,0
0,"Data Nerds!! Do you use the Morning Brew for your news? <br>Sign-up for free here 👉🏼 <a href=""https://www.morningbrew.com/daily/subscribe?utm_campaign=lukebarousse_022022&amp;utm_medium=paid_influencer&amp;utm_source=youtube"">https://www.morningbrew.com/daily/subscribe?utm_campaign=lukebarousse_022022&amp;utm_medium=paid_influencer&amp;utm_source=youtube</a>"
1,Has anyone picked up “Storytelling With Data: Let’s Practice”? I was wondering which one to get or if it’s worth having both
2,That was the best sponsorship video section i have ever seen. Nice
3,Love all the 5 steps you laid out. I recently had an interview and applied step 4 on the visualization part. <br><br>Can&#39;t thank you enough for this (timely) video! Looking forward to more content like this!
4,"Morning brew asking for lot of unnecessary details on signup, I quit, why do they want to know your postal code, where do you work,for a newsletter? Are they harvesting my information? I’m not signing up, my condition, email should be enough for newsletter otherwise it’s suspicious"
5,Wowww
6,Can someone suggest me the best book for python for beginners
7,"Power BI is doing great💖 This was a great review, thank you!"
8,"Hey Luke, there’s another (from the same author) book called “Storytelling with data: let’s practice” The author says that it works like a companion guide with the original book ( the one that you mentioned on the video). So I think it’s a great idea to read both books at the same time."
9,i&#39;m sorry but all the concepts shown in this book are basics...
10,Thank you
11,thanks Luke! What an instructive video!
12,Thanks for the recommendation. I bought the book yesterday morning from Amazon (with your link ;) of course ) and got it the same day. I am about 30 pages in and I am loving it!
13,This is great!
14,"I am currently studying to be a data analyst with no background in data at all. I was recommended this book and I am over halfway through so far. It is absolutely fantastic! It really helped me to organize and rethink the way I think about data which lowered my stress levels as I was overwhelmed with the learning process. I have also bought the companion book, which has excercies, and I will be reading it after I finish the current one."
15,Hey Luke. Awesome video! Can you make a video on how to use data analytics for Crypto markets?
16,Dood-bro lol
17,"Thank you Luke for sharing and telling! This is awesome. You are way much better than some presentors in YouTube. This is simple, clear and clean and on-point. I am interested in buying that book. Ill save some to buy that.🙂🙂🙂"
